店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P04449,139.628782,35.4364561,SKIP横浜橋店,神奈川県横浜市南区真金町1-3,4449,SKIP横浜橋店,神奈川県,SKIP横浜橋店
P06227,137.053035,34.9978054,KEIZギャラリエアピタ知立店,愛知県知立市長篠町大山18-1,6227,KEIZギャラリエアピタ知立店,愛知県,KEIZギャラリエアピタ知立店
P09065,136.165179,35.9366778,クァトロブーム武生,福井県越前市家久町31字14-2,9065,クァトロブーム武生,福井県,クァトロブーム武生
P01866,140.325007,40.162,chaos合川店,秋田県北秋田市川井字鳥屋沢32-1,1866,chaos合川店,秋田県,chaos合川店
P01224,142.410634,43.797081,ベガスベガス旭川店,北海道旭川市永山2条8丁目 1-33,1224,ベガスベガス旭川店,北海道,ベガスベガス旭川店
P10504,130.690408,33.890625,フェイス950高須,福岡県北九州市若松区高須東4丁目1番10号,10504,フェイス950高須,福岡県,フェイス950高須
P02609,,,レイト荒川沖店,茨城県土浦市右籾1641-2,2609,レイト荒川沖,茨城県,レイト荒川沖
P01924,141.71804,39.073994,カネマン大船渡,岩手県大船渡市大船渡町字中港3-4,1924,カネマン大船渡,岩手県,カネマン大船渡
P05056,138.53412,35.6801118,ABC甲斐敷島店,山梨県甲斐市中下条2012-1,5056,ABC甲斐敷島店,山梨県,ABC甲斐敷島店
P12133,137.032404,34.8040542,マックス一色店,愛知県西尾市一色町対米七古新田41-1,12470,マックス一色店,愛知県,マックス一色店
P12274,139.849752,35.9417273,ＳＡＰ野田,千葉県野田市中野台815,12614,SAP野田,千葉県,SAP野田
P12274,139.849752,35.9417273,ＳＡＰ野田,千葉県野田市中野台815,12614,SAP野田,千葉県,SAP野田
P02386,139.906552,37.4659864,マルハン会津若松店,福島県会津若松市門田町大字飯寺字上川原１３８番２,2386,マルハン会津若松店,福島県,マルハン会津若松店
P06217,136.914928,34.9690994,プレイランドキャッスル知多店,愛知県知多市八幡字半田道11-1,6217,プレイランドキャッスル知多店,愛知県,プレイランドキャッスル知多店
P02608,140.1777,36.1133251,ダイナム新治店,茨城県土浦市下坂田1699番地4,2608,ダイナム新治店,茨城県,ダイナム新治店
P10514,130.816646,33.8932829,ゾーン戸畑店,福岡県北九州市戸畑区牧山新町1-38,10514,ゾーン戸畑店,福岡県,ゾーン戸畑店
P08659,138.815039,37.4537519,スロットニューラッキー古正寺店,新潟県長岡市古正寺町123-1,8659,スロットニューラッキー古正寺店,新潟県,スロットニューラッキー古正寺店
P01287,143.208714,42.8956753,マルハン帯広店,北海道帯広市大通南３２丁目３番１,1287,マルハン帯広店,北海道,マルハン帯広店
P06172,136.933506,35.290309,パーラーワールド小牧店,愛知県小牧市中央3-110,6172,パーラーワールド小牧店,愛知県,パーラーワールド小牧店
P06133,137.034777,34.8254838,オーギヤ西尾店,愛知県西尾市市子町西蓑手40,6133,オーギヤ西尾店,愛知県,オーギヤ西尾店
P05165,137.654222,34.698235,ローレル志都呂店,静岡県浜松市西区志都呂2丁目2番10号,5165,ローレル志都呂店,静岡県,ローレル志都呂店
P04356,140.465508,35.7288297,パールショップともえ多古店,千葉県香取郡多古町多古1603-1,4356,パールショップともえ多古店,千葉県,パールショップともえ多古店
P05209,138.865676,35.0859813,プレイステーションタムラ香貫店,静岡県沼津市上香貫槙島町1278－1,5209,プレイステーションタムラ香貫店,静岡県,プレイステーションタムラ香貫店
P06872,135.819202,34.50668,マルハン橿原南店,奈良県橿原市膳夫町２３８番地の２,6872,マルハン橿原南店,奈良県,マルハン橿原南店
P01177,140.778109,41.798964,プレイランドハッピー本通店,北海道函館市本通4丁目14番8号,1177,プレイランドハッピー本通店,北海道,プレイランドハッピー本通店
P12280,130.818156,33.8937529,スペース666,福岡県北九州市戸畑区牧山新町1-21,12621,スペース666,福岡県,スペース666
P01295,143.202687,42.9139737,ゴッサムシティ,北海道帯広市西2条南16-1-2,1295,ゴッサムシティ,北海道,ゴッサムシティ
P12236,140.855444,36.9421746,16MGMいわき泉店,福島県いわき市泉町下川字薬師前1-1,12571,16MGMいわき泉店,福島県,16MGMいわき泉店
P02369,140.454058,37.739916,ニュージャンボ,福島県福島市方木田辻ノ内19－1,2369,ニュージャンボ,福島県,ニュージャンボ
P01158,141.251496,43.123713,プレイランドハッピー手稲前田店,北海道札幌市手稲区前田4条10丁目2番25号,1158,プレイランドハッピー手稲前田店,北海道,プレイランドハッピー手稲前田店
P01288,143.196492,42.8901074,ライジング帯広,北海道帯広市稲田町南8線西12-13,1288,ライジング帯広,北海道,ライジング帯広
P06113,137.116601,34.9606076,オーギヤ安城店,愛知県安城市別郷町東田1-1,6113,オーギヤ安城店,愛知県,オーギヤ安城店
P02443,140.89071,36.9685457,ZENT小名浜店,福島県いわき市小名浜大原東田38-1,2443,ZENT小名浜店,福島県,ZENT小名浜店
P05176,137.742009,34.672804,スロットパークゴッド,静岡県浜松市南区中田島町622,5176,スロットパークゴッド,北海道,ゴッドスロットパーク
P05176,137.742009,34.672804,スロットパークゴッド,静岡県浜松市南区中田島町622,5176,スロットパークゴッド,静岡県,スロットパークゴッド
P11779,140.059934,35.6830128,マルハン習志野店,千葉県習志野市屋敷4丁目3番2号,12070,マルハン習志野店,千葉県,マルハン習志野店
P11859,138.859548,35.1015311,楽園沼津店,"静岡県沼津市大手町3-4-1沼津サウスビル地下1階,1階、2階",12182,楽園沼津店,静岡県,楽園沼津店
P02612,140.226287,36.122423,パワースロットステージアポロ神立店,茨城県土浦市神立中央5-22-1,2612,パワースロットステージアポロ神立店,茨城県,パワースロットステージアポロ神立店
P01160,141.259258,43.101763,プレイランドハッピー西宮の沢店,北海道札幌市手稲区西宮の沢3条3丁目2番14号,1160,プレイランドハッピー西宮の沢店,北海道,プレイランドハッピー西宮の沢店
