店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P01378,141.514724,43.0858279,アミューズメントパーラー吉兆,北海道江別市大麻泉町47-37,1378,アミューズメントパーラー吉兆,北海道,アミューズメントパーラー吉兆
P01582,143.207331,42.9613692,音更ひまわり,北海道河東郡音更町木野大通東13丁目1番21,1582,ひまわり音更店,北海道,ひまわり音更店
P01351,141.29282,43.1062867,EBH,北海道札幌市西区発寒15条4-13-1,13160,EBH,北海道,EBH
P02562,140.47701,36.3655223,キコーナ水戸駅南店,茨城県水戸市城南1-4-1,2562,キコーナ水戸駅南店,茨城県,キコーナ水戸駅南店
P04933,139.465162,35.4511029,P’Stown桜ヶ丘,神奈川県大和市福田1-6-10,4933,ピーズ・タウン桜ヶ丘,神奈川県,ピーズ・タウン桜ヶ丘
P04306,140.315826,35.678889,パールショップともえ八街HIZIKAI,千葉県八街市文違字文違野301-114,4306,パールショップともえ八街HIZIKAI,千葉県,パールショップともえ八街HIZIKAI
P05527,137.793881,35.502138,オーギヤ飯田店,長野県飯田市北方1029-5,5527,オーギヤ飯田店,長野県,オーギヤ飯田店
P01375,141.536819,43.0965251,ライジング江別,北海道江別市東野幌町1-4,1375,ライジング江別,北海道,ライジング江別
P01581,143.206331,42.956757,エルシティ,北海道河東郡音更町木野大通東11-1-4,1581,エルシティ,北海道,エルシティ
P12574,139.619113,35.465517,123横浜西口店,神奈川県横浜市西区南幸1-14-10,12985,123横浜西口店,神奈川県,123横浜西口店
P12397,140.480583,36.3390321,マルハン水戸けやき台店,茨城県水戸市元吉田字上千束1944-49,12759,マルハン水戸けやき台店,茨城県,マルハン水戸けやき台店
P00535,139.699822,35.7491794,マルハン大山店,東京都板橋区大山町39番1号マルハン大山ビル,535,マルハン大山店,東京都,マルハン大山店
P07610,135.54246,34.5233656,123北野田店,大阪府堺市東区北野田1077,7610,123北野田店,大阪府,123北野田店
P06214,136.954617,35.0210643,有楽共和店,愛知県大府市一屋町3-27,6214,有楽共和店,愛知県,有楽共和店
P04304,140.300865,35.6520974,パールショップともえ八街店,千葉県八街市八街ほ951-1,4304,パールショップともえ八街店,千葉県,パールショップともえ八街店
P05869,137.411986,34.7585839,タイキ豊橋仲ノ店,愛知県豊橋市仲ノ町128,5869,タイキ豊橋仲ノ店,愛知県,タイキ豊橋仲ノ店
P05522,137.81503,35.5226038,ニューアサヒ上飯田店,長野県飯田市丸山町1-9-10,5522,ニューアサヒ上飯田店,長野県,ニューアサヒ上飯田店
P01592,144.405362,43.0127288,釧路ひまわり,北海道釧路郡釧路町桂木6丁目3番地,1592,ひまわり釧路店,北海道,ひまわり釧路店
P01377,141.543729,43.1008906,マルハン江別店,北海道江別市上江別４３５番地の２,1377,マルハン江別店,北海道,マルハン江別店
P01419,141.92011,43.534156,プラスイーグル砂川店,北海道砂川市空知太東1条4-1-6,1419,プラスイーグル砂川店,北海道,プラスイーグル砂川店
P01107,141.3808,43.0550355,パーラーマンモス’21菊水店,北海道札幌市白石区菊水6条4-2-25,1107,パーラーマンモス'21菊水店,北海道,パーラーマンモス'21菊水店
P02038,140.325053,38.2832873,ベガスベガス北山形店,山形県山形市馬見ヶ崎3-19-22,2038,ベガスベガス北山形店,山形県,ベガスベガス北山形店
P12504,139.595595,35.4095616,アビバ上大岡店,神奈川県横浜市港南区上大岡西1-14-10,12890,アビバ上大岡店,神奈川県,アビバ上大岡店
P06340,136.775949,35.454594,キクヤ長良店,岐阜県岐阜市長良福光98-1,6340,キクヤ長良店,岐阜県,キクヤ長良店
P03970,139.901825,35.6731804,ガイアネクスト南行徳店,千葉県市川市相之川4-6-14,3970,ガイアネクスト南行徳店,千葉県,ガイアネクスト南行徳店
P06211,136.951984,35.005551,有楽森岡店,愛知県大府市森岡町4-62,6211,有楽森岡店,愛知県,有楽森岡店
P12107,139.665733,35.6736547,メッセ笹塚店,東京都渋谷区笹塚1-58-5,12445,メッセ笹塚店,東京都,メッセ笹塚店
P07321,135.516994,34.7393654,ＫＹＯＲＡＫＵ,大阪府大阪市東淀川区淡路4-9-17　新阪急淡路駅前ビル,7321,KYORAKU淡路本店,大阪府,KYORAKU淡路本店
P05337,138.259681,34.8665258,ABC藤枝緑町店,静岡県藤枝市緑町1-1-1,5337,ABC藤枝緑町店,静岡県,ABC藤枝緑町店
P11833,141.531412,42.6155564,苫小牧ひまわり,北海道苫小牧市字糸井108番,12132,ひまわり苫小牧店,北海道,ひまわり苫小牧店
P01414,141.92493,43.552844,ビクトリア滝川店,北海道滝川市新町6-9-35,1414,ビクトリア滝川店,北海道,ビクトリア滝川店
P01362,141.684955,45.3996707,プラスイーグル稚内店,北海道稚内市大黒2-4-1,1362,プラスイーグル稚内店,北海道,プラスイーグル稚内店
P01104,141.44165,43.053444,プレイランドハッピー厚別通店,北海道札幌市白石区川下4条1丁目1番2号,1104,プレイランドハッピー厚別通店,北海道,プレイランドハッピー厚別通店
P02033,140.326158,38.271948,パーラー国際山形北店,山形県山形市北町3-7-14,2033,パーラー国際山形北店,山形県,パーラー国際山形北店
P02004,141.078099,39.706009,ビックガマアポロ,岩手県滝沢市篠木黒畑51-3,2004,ビックガマアポロ,岩手県,ビックガマアポロ
P06377,136.759107,35.411897,キクヤ本店,岐阜県岐阜市神田町9-16,6377,キクヤ本店,岐阜県,キクヤ本店
P00674,139.839466,35.7479184,出玉本舗 玉えもん お花茶屋店,東京都葛飾区お花茶屋1-18-11,674,出玉本舗玉えもんお花茶屋店,東京都,出玉本舗玉えもんお花茶屋店
P03963,139.906796,35.728843,ウイング市川駅南店,千葉県市川市市川南1-10-1-116,3963,ウイング市川駅南店,千葉県,ウイング市川駅南店
P05767,136.893703,35.1445295,プレイランドキャッスル尾頭橋店,愛知県名古屋市中川区尾頭橋1-1-39,5767,プレイランドキャッスル尾頭橋店,愛知県,プレイランドキャッスル尾頭橋店
P06212,136.956936,35.0202636,コスモジャパン大府店,愛知県大府市一屋町3-69,6212,コスモジャパン大府店,愛知県,コスモジャパン大府店
P12261,135.515206,34.744735,キコーナ西淡路店,大阪府大阪市東淀川区西淡路6-4-120,12604,キコーナ西淡路店,大阪府,キコーナ西淡路店
P05885,137.4005,34.7290311,名宝曙店,愛知県豊橋市曙町字若松111,5885,名宝曙店,愛知県,名宝曙店
P03526,139.135611,36.199501,ダイナム児玉店,埼玉県本庄市児玉町吉田林337番地1,3526,ダイナム児玉店,埼玉県,ダイナム児玉店
P12788,,,グランキコーナ泉佐野店,大阪府泉佐野市南中安松774,13223,グランキコーナ泉佐野店,大阪府,グランキコーナ泉佐野店
P01413,141.910596,43.5630348,ビッグドン,北海道滝川市本町5-1-27,1413,ビッグドン,北海道,ビッグドン
P01440,140.879868,42.4660993,CREV伊達店,北海道伊達市舟岡町205-29,1440,CREV伊達店,北海道,CREV伊達店
P01150,141.449133,43.028061,ベガスベガス大谷地店,北海道札幌市厚別区大谷地東2丁目1-3,1150,ベガスベガス大谷地店,北海道,ベガスベガス大谷地店
P02965,139.704524,36.7285039,アイランド日光店,栃木県日光市豊田字芳端３３－１,2965,アイランド日光店,栃木県,アイランド日光店
P06215,136.971216,35.0064582,有楽大東店,愛知県大府市大東町1-182,6215,有楽大東店,愛知県,有楽大東店
P08843,136.683276,36.6155629,マルハン福久店,石川県金沢市福久東一丁目２５番地１,8843,マルハン福久店,石川県,マルハン福久店
P05887,137.357867,34.7663496,グランプリ　オーギ,愛知県豊橋市小向町字西小向28,5887,オーギヤグランプリ,愛知県,オーギヤグランプリ
P05332,138.278475,34.8612986,コンコルド築地東店,静岡県藤枝市築地293,5332,コンコルド築地東店,静岡県,コンコルド築地東店
P12159,135.561167,34.8275016,SUPERCOSMO PREMIUM茨木インター店,大阪府茨木市上穂積4-7-64,12510,SUPER COSMO PREMIUM茨木インター店,大阪府,SUPER COSMO PREMIUM茨木インター店
P01132,141.344628,43.009865,プレイランドハッピー藻岩店,北海道札幌市南区南36条西11丁目1番1号,1132,プレイランドハッピー藻岩店,北海道,プレイランドハッピー藻岩店
P03031,139.94493,36.6918166,マルハン氏家店,栃木県さくら市富野岡５０４番地,3031,マルハン氏家店,栃木県,マルハン氏家店
P02005,141.122528,39.794647,リジョイス,岩手県滝沢市巣子992-14,2005,リジョイス,岩手県,リジョイス
P00574,139.706763,35.7623273,やすだ清水町店,東京都板橋区清水町32-7,574,やすだ清水町店,東京都,やすだ清水町店
P05876,137.432113,34.7283709,オーギヤ二川店,愛知県豊橋市大岩町字久保田32-1,5876,オーギヤ二川店,愛知県,オーギヤ二川店
P07838,135.557206,34.805625,マルハン茨木店,大阪府茨木市宇野辺１丁目２番４０号,7838,マルハン茨木店,大阪府,マルハン茨木店
P01105,141.410886,43.0407751,ゴールドラッシュ南郷通店,北海道札幌市白石区南郷通7北2-1,1105,ゴールドラッシュ南郷通店,北海道,ゴールドラッシュ南郷通店
P02285,141.254554,38.431193,アムズガーデン石巻店,宮城県東松島市赤井字八反谷地138-1,2285,アムズガーデン石巻店,宮城県,アムズガーデン石巻店
P02009,141.12905,39.7729622,ロックハンドアポロ,岩手県滝沢市巣子91-3,2009,ロックハンドアポロ,岩手県,ロックハンドアポロ
P06590,136.240284,35.4511537,ダイナム滋賀湖北店,滋賀県長浜市湖北町八日市字亀ヶ渕1118番地,6590,ダイナム滋賀湖北店,滋賀県,ダイナム滋賀湖北店
P12272,136.880881,35.1290121,KEIZ中川運河店,愛知県名古屋市中川区外新町3-1,12619,KEIZ中川運河店,愛知県,KEIZ中川運河店
P06040,137.002757,34.9042617,ｙｏｕｔ碧南店,愛知県碧南市金山町1丁目30番地,6040,APAN21碧南店,愛知県,APAN21碧南店
P08813,136.633788,36.553645,マルハン金沢店,石川県金沢市泉本町７丁目１０番地１,8813,マルハン金沢店,石川県,マルハン金沢店
P04037,139.870598,35.009476,SKIP館山店,千葉県館山市湊231,4037,SKIP館山店,千葉県,SKIP館山店
P07830,135.567069,34.8361453,キコーナ茨木店,大阪府茨木市南耳原2-1-8,7830,キコーナ茨木店,大阪府,キコーナ茨木店
P01573,142.360935,42.341738,マルハン静内店,北海道日高郡新ひだか町静内木場町１丁目１番１１１号,1573,マルハン静内店,北海道,マルハン静内店
P01111,141.419358,43.044324,プレイランドハッピー白石店,北海道札幌市白石区本通9丁目北1-1,1111,プレイランドハッピー白石店,北海道,プレイランドハッピー白石店
P02287,141.251048,38.4309419,スロットハウスムサシ矢本店,宮城県東松島市赤井字鷲塚71-4,2287,スロットハウスムサシ矢本店,宮城県,スロットハウスムサシ矢本店
P02287,141.251048,38.4309419,スロットハウスムサシ矢本店,宮城県東松島市赤井字鷲塚71-4,2287,スロットハウスムサシ矢本店,神奈川県,スロットムサシ
P02287,141.251048,38.4309419,スロットハウスムサシ矢本店,宮城県東松島市赤井字鷲塚71-4,2287,スロットムサシ,宮城県,スロットハウスムサシ矢本店
P02287,141.251048,38.4309419,スロットハウスムサシ矢本店,宮城県東松島市赤井字鷲塚71-4,2287,スロットムサシ,神奈川県,スロットムサシ
P05777,136.882832,35.1234682,マリオン十番町店,愛知県名古屋市中川区十番町７丁目２－１,5777,マリオン十番町店,愛知県,マリオン十番町店
P12219,139.618739,35.7048431,オリエンタルパサージュ荻窪426,東京都杉並区上荻1-10-12東亜会館1.2.3F,12556,オリエンタルパサージュ荻窪426,東京都,オリエンタルパサージュ荻窪426
P04034,139.869135,35.003465,ダイナム千葉館山店,千葉県館山市八幡字沼田246番地,4034,ダイナム館山店,千葉県,ダイナム館山店
P04034,139.869135,35.003465,ダイナム千葉館山店,千葉県館山市八幡字沼田246番地,4034,ダイナム館山店,千葉県,ダイナム館山店
P06281,136.715506,35.1162319,ラッキープラザ1111弥富店,愛知県弥富市五明町内川平465-1,6281,ラッキープラザ1111弥富店,愛知県,ラッキープラザ1111弥富店
P03806,139.370904,35.9760125,第一プラザ坂戸にっさい店,埼玉県坂戸市金田丸岡148-1,3806,第一プラザ坂戸にっさい店,埼玉県,第一プラザ坂戸にっさい店
P01098,141.419124,43.056384,イーグルゴー北郷店,北海道札幌市白石区北郷3条5-13-22,1098,イーグルゴー北郷店,北海道,イーグルゴー北郷店
P01928,141.111411,39.4421877,パチンコ22花巻インター店,岩手県花巻市二枚橋第3地割20,1928,パチンコ22花巻インター店,岩手県,パチンコ22花巻インター店
P00554,139.6865,35.7772906,パラッツォ志村店,東京都板橋区志村3-7-16,554,パラッツォ志村店,東京都,パラッツォ志村店
P03418,139.345484,36.1707379,グランドオータ熊谷本店,埼玉県熊谷市大字久保島920,3418,グランドオータ熊谷本店,埼玉県,グランドオータ熊谷本店
P05239,138.613441,35.263129,コンコルド富士宮店,静岡県富士宮市外神東町68,5239,コンコルド富士宮店,静岡県,コンコルド富士宮店
P07840,135.530408,34.8356856,キコーナタウン茨木彩都店,大阪府茨木市豊川3-1-5,7840,キコーナタウン茨木彩都店,大阪府,キコーナタウン茨木彩都店
P01108,141.385705,43.0519364,イーグルピュアシティ東札幌店,北海道札幌市白石区東札幌3条2-1-48,1108,イーグルピュアシティ東札幌店,北海道,イーグルピュアシティ東札幌店
P10575,130.735078,33.8817096,マルハン本城店,福岡県北九州市八幡西区本城４丁目８番１０号,10575,マルハン本城店,福岡県,マルハン本城店
P02952,139.61242,36.3202005,アイランド佐野店,栃木県佐野市伊勢山町974,2952,アイランド佐野店,栃木県,アイランド佐野店
P03644,139.780881,35.923159,ディスカバリー,埼玉県越谷市大字大里624-1,3644,ディスカバリー,埼玉県,ディスカバリー
P00425,139.637019,35.7046684,阿佐ヶ谷オーシャン,東京都杉並区阿佐谷南2-16-7,425,阿佐ヶ谷オーシャン,東京都,阿佐ヶ谷オーシャン
P03416,139.346594,36.148397,No．1 ヒロセ,埼玉県熊谷市広瀬638,3416,No.1ヒロセ,埼玉県,No.1ヒロセ
P00593,139.64,35.7367476,国際センター中村橋店,東京都練馬区中村北3-11-5,593,国際センター中村橋店,東京都,国際センター中村橋店
P00593,139.64,35.7367476,国際センター中村橋店,東京都練馬区中村北3-11-5,593,国際センター中村橋店,東京都,国際センター中野店
P06284,137.078998,35.090913,タイホウ三好店,愛知県みよし市三好町中島33-3,6284,タイホウ三好店,愛知県,タイホウ三好店
P05244,138.609605,35.2188221,ABC富士宮浅間町店,静岡県富士宮市浅間町4-18,5244,ABC富士宮浅間町店,静岡県,ABC富士宮浅間町店
P11866,139.418723,35.9655736,第一プラザ坂戸1000,埼玉県坂戸市大字塚越1300,12194,第一プラザ坂戸1000,埼玉県,第一プラザ坂戸1000
P12087,141.293991,43.1001317,ベガスベガス発寒店,北海道札幌市西区発寒14条3-3-10,12427,ベガスベガス発寒店,北海道,ベガスベガス発寒店
P02244,140.891471,38.1628076,パラディソ名取りんくう店,宮城県名取市杜せきのした5-1-1,2244,パラディソ名取りんくう店,宮城県,パラディソ名取りんくう店
P03118,139.010915,36.3591162,ビックマーチ高崎おおやぎ店,群馬県高崎市小八木町774,3118,ビックマーチ高崎おおやぎ店,群馬県,ビックマーチ高崎おおやぎ店
P00557,139.709594,35.753104,やすだ仲宿店,東京都板橋区仲宿60-15,557,やすだ仲宿店,東京都,やすだ仲宿店
P01418,141.917131,43.528894,マルハン砂川店,北海道砂川市空知太西１条２丁目１番１６号,1418,マルハン砂川店,北海道,マルハン砂川店
P05837,136.96844,35.0798426,タイホウ相原店,愛知県名古屋市緑区相原郷2-1512,5837,タイホウ相原店,愛知県,タイホウ相原店
P04260,139.9987,35.762638,鎌ヶ谷グランド,千葉県鎌ヶ谷市道野辺本町2-9-1,4260,鎌ヶ谷グランド,千葉県,鎌ヶ谷グランド
P12496,140.944636,37.6394974,セントラルMEGASTAGE1000,福島県南相馬市原町区大木戸字金場129番地の1,12882,セントラルMEGASTAGE1000,福島県,セントラルMEGASTAGE1000
P05240,138.621517,35.2433791,ABC富士宮万野原店,静岡県富士宮市中原町150,5240,ABC富士宮万野原店,静岡県,ABC富士宮万野原店
P08002,135.614271,34.739838,テキサス門真,大阪府門真市宮前町12-12,8002,テキサス門真,大阪府,テキサス門真
P00449,139.713822,35.732602,マルハン池袋店,東京都豊島区東池袋一丁目４３番５号文芸坐ビル地下１階、地上１、２階,449,マルハン池袋店,東京都,マルハン池袋店
P01135,141.316418,43.076568,マルハン琴似店,北海道札幌市西区二十四軒２条１丁目２番５３号,1135,マルハン琴似店,北海道,マルハン琴似店
P02237,140.874742,38.1822884,スロットインパラディソ名取,宮城県名取市田高字原220-11,2237,スロットインパラディソ名取,宮城県,スロットインパラディソ名取
P02913,,,メルヘンワールド足利店,栃木県足利市借宿町619,2913,メルヘンワールド足利店,栃木県,メルヘンワールド足利店
P12145,139.097551,36.3751788,マルハン前橋天川大島店,群馬県前橋市天川大島町230番地1,12506,マルハン前橋天川大島店,群馬県,マルハン前橋天川大島店
P05836,136.984824,35.082795,タイホウ篭山店,愛知県名古屋市緑区篭山2-1220,5836,タイホウ篭山店,愛知県,タイホウ篭山店
P00585,139.586583,35.7498864,日の出会館,東京都練馬区東大泉1-30-1,585,日の出会館,東京都,日の出会館
P02500,140.942153,37.6269867,つばめザ・ビーム,福島県南相馬市原町区大木戸字南東方148-1,2500,つばめザ・ビーム,福島県,つばめザ・ビーム
P06300,136.933013,35.3535338,ZENT扶桑店,愛知県丹羽郡扶桑町大字高雄字突田1番地,6300,ZENT扶桑店,愛知県,ZENT扶桑店
P03693,139.667862,35.8167018,やすだ戸田店,埼玉県戸田市大字新曽750番地,3693,やすだ戸田店,埼玉県,やすだ戸田店
P05756,136.873306,35.1465091,マリオン長良橋西店,愛知県名古屋市中川区四女子町1-7,5756,マリオン長良橋西店,愛知県,マリオン長良橋西店
P03423,139.385522,36.1648552,アスカ熊谷店,埼玉県熊谷市肥塚1200-4,3423,アスカ熊谷店,埼玉県,アスカ熊谷店
P12026,139.634523,35.8304991,アリーナ美女木店,埼玉県戸田市美女木8-1-1,12397,アリーナ美女木店,埼玉県,アリーナ美女木店
P00102,139.774313,35.7093045,エスパス日拓上野新館,東京都台東区上野4-7-5　日拓上野アメ横ビル,102,エスパス日拓上野新館,東京都,エスパス日拓上野新館
P01133,141.303042,43.0832283,ライジング琴似,北海道札幌市西区琴似4条1-580-1,1133,ライジング琴似,北海道,ライジング琴似
P02240,140.882501,38.1434282,パチンコまるたま名取店,宮城県名取市植松字錦田4-1,2240,パチンコまるたま名取店,宮城県,パチンコまるたま名取店
P10467,130.32565,33.5833186,パーラーゾーン姪浜,福岡県福岡市西区姪浜駅南1-2-23,10467,パーラーゾーン姪浜,福岡県,パーラーゾーン姪浜
P06619,135.976933,35.021215,オメガミュージアム栗東,滋賀県栗東市小柿3丁目4-43,6619,オメガミュージアム栗東,滋賀県,オメガミュージアム栗東
P00569,139.661471,35.7892224,ジャンジャン高島平駅前店,東京都板橋区高島平8-4-1,569,ジャンジャン高島平駅前店,東京都,ジャンジャン高島平駅前店
P07019,135.750669,35.059363,エンターテイメントオメガ上賀茂,京都府京都市北区上賀茂朝露ヶ原町28-5,7019,エンターテイメントオメガ上賀茂,京都府,エンターテイメントオメガ上賀茂
P05662,136.936124,35.1695772,キング観光サウザンド今池2号店,愛知県名古屋市千種区内山3-33-17,5662,キング観光サウザンド今池2号店,愛知県,キング観光サウザンド今池2号店
P12525,135.657269,34.8131403,G-ONE枚方宮之阪店,大阪府枚方市宮之阪3-6-25,12916,G-ONE枚方宮之阪店,大阪府,G-ONE枚方宮之阪店
P00111,139.774184,35.7105771,エスパス日拓上野本館,東京都台東区上野4-10-4,111,エスパス日拓上野本館,東京都,エスパス日拓上野本館
P01134,141.31397,43.087969,プレイランドハッピー八軒店,北海道札幌市西区八軒6条西1丁目2番1号,1134,プレイランドハッピー八軒店,北海道,プレイランドハッピー八軒店
P10464,130.313964,33.5855663,ワンダーランド小戸本館,福岡県福岡市西区小戸4-24-36,10464,ワンダーランド小戸本館,福岡県,ワンダーランド小戸本館
P03097,139.037105,36.3800301,マルハン前橋インター店,群馬県前橋市元総社町693,3097,マルハン前橋インター店,群馬県,マルハン前橋インター店
P06289,136.811211,35.2117825,マリオン甚目寺森店,愛知県あま市森5-21-28,6289,マリオン甚目寺森店,愛知県,マリオン甚目寺森店
P06018,137.39112,34.8206661,ラスベガス豊川店,愛知県豊川市新宿町2-13,6018,ラスベガス豊川店,愛知県,ラスベガス豊川店
P00613,139.637981,35.7370328,キング中村橋店,東京都練馬区貫井1-2-1サンパレスビルＢ1Ｆ,613,キング中村橋店,東京都,キング中村橋店
P06257,137.273834,34.6682157,名宝田原店,愛知県田原市神戸町後申25-1,6257,名宝田原店,愛知県,名宝田原店
P05253,139.111281,34.9558784,SLOT DOLPHiN,静岡県伊東市玖須美元和田716-48,5253,SLOT DOLPHiN,静岡県,SLOT DOLPHiN
P07865,135.604254,34.6457917,マルハン八尾泉店,大阪府八尾市泉町二丁目５２番地,7865,マルハン八尾泉店,大阪府,マルハン八尾泉店
P00125,139.775413,35.710618,サイバースパーク上野店,東京都台東区上野6-13-14,125,サイバースパーク上野店,東京都,サイバースパーク上野店
P01139,141.28152,43.084115,プレイランドハッピー西町店,北海道札幌市西区西町北15丁目1番12号,1139,プレイランドハッピー西町店,北海道,プレイランドハッピー西町店
P01139,141.28152,43.084115,プレイランドハッピー西町店,北海道札幌市西区西町北15丁目1番12号,1139,プレイランドハッピー西町店,北海道,プレイランドハッピー二十四軒店
P02241,140.889427,38.1811291,マルハン名取店,宮城県名取市増田９丁目５番２１号,2241,マルハン名取店,宮城県,マルハン名取店
P10481,130.345074,33.5675052,BEAM HARA 333,福岡県福岡市早良区原3-17-21,10481,BEAM HARA,福岡県,BEAM HARA
P06501,136.679513,35.4277788,マリオンガーデン岐阜本店,岐阜県本巣市小柿813,6501,マリオンガーデン岐阜本店,岐阜県,マリオンガーデン岐阜本店
P12265,136.801224,35.1560446,ラッキープラザ名古屋西インター七宝店,愛知県あま市七宝町伊福苗代126,12596,ラッキープラザ名古屋西インター七宝店,愛知県,ラッキープラザ名古屋西インター七宝店
P03657,139.775135,35.9356588,せんげん台DUO,埼玉県越谷市千間台東1-10-1,3657,せんげん台DUO,埼玉県,せんげん台DUO
P00392,139.627228,35.706562,フィオーレ荻窪,東京都杉並区荻窪5-29-2,392,フィオーレ荻窪,東京都,フィオーレ荻窪
P11902,136.937192,35.1683883,コスモジャパン今池店,"愛知県名古屋市千種区今池5-10-1-B1,B2",12247,コスモジャパン今池店,愛知県,コスモジャパン今池店
P00609,139.66212,35.767762,ミリオン東武練馬13号店,東京都練馬区北町2-21-9,609,ミリオン東武練馬13号店,東京都,ミリオン東武練馬13号店
P06260,137.262878,34.6671267,オータ田原店,愛知県田原市田原町二の丸43-1,6260,オータ田原店,愛知県,オータ田原店
P07857,135.61181,34.603344,ARROW志紀店,大阪府八尾市志紀町１－１２３外,7857,ARROW志紀店,大阪府,ARROW志紀店
P00510,139.772287,35.7283068,BBステーション日暮里店,東京都荒川区東日暮里5-51-12　安永ビル1F,510,BBステーション日暮里店,東京都,BBステーション日暮里店
P01066,141.338872,43.104762,クラブイーグル 麻生店,北海道札幌市北区北37条西5-1-30,1066,クラブイーグル麻生店,北海道,クラブイーグル麻生店
P11812,141.127403,38.532452,メルヘンワールド涌谷店,宮城県遠田郡涌谷町字桑木荒161-1,12112,メルヘンワールド涌谷店,宮城県,メルヘンワールド涌谷店
P10489,130.36044,33.5819052,ワンダーランド西新,福岡県福岡市早良区城西3-20-15,10489,ワンダーランド西新店,福岡県,ワンダーランド西新店
P11992,136.700634,35.392135,キクヤ穂積店,岐阜県瑞穂市穂積字タリ3110-1,12329,キクヤ穂積店,岐阜県,キクヤ穂積店
P03768,139.825671,35.8066597,やすだ八潮店,埼玉県八潮市大字大曽根1135-1,3768,やすだ八潮店,埼玉県,やすだ八潮店
P06294,136.818857,35.1923777,イクサム甚目寺店,愛知県あま市甚目寺茶之木田36-2,6294,イクサム甚目寺店,愛知県,イクサム甚目寺店
P11890,139.633157,35.7769923,エクサ,東京都板橋区成増2-19-4,12211,エクサ,東京都,エクサ
P05663,136.928005,35.1680713,タイホウ千種駅南店,愛知県名古屋市千種区新栄3-20-17,5663,タイホウ千種駅南店,愛知県,タイホウ千種駅南店
P12248,135.590626,34.6131815,キコーナ八尾太子堂店,大阪府八尾市植松町8-3-28,12580,キコーナ八尾太子堂店,大阪府,キコーナ八尾太子堂店
P00130,139.775306,35.7096893,オリパサインペリアル上野本館,東京都台東区上野6-9-7,130,オリエンタルパサージュインペリアル本館,東京都,オリエンタルパサージュインペリアル本館
P01168,141.46309,42.9809112,ベガスベガス美しが丘店,北海道札幌市清田区美しが丘1条7-6-10,1168,ベガスベガス美しが丘店,北海道,ベガスベガス美しが丘店
P10442,130.415213,33.5761073,ワンダーランド百年橋店,福岡県福岡市南区那の川1-1-1,10442,ワンダーランド百年橋店,福岡県,ワンダーランド百年橋店
P06446,137.016495,35.4518609,僕のAパン美のかも一山手,岐阜県美濃加茂市山手町2-2-1,6446,僕のAパン美のかも-山手,岐阜県,僕のAパン美のかも-山手
P00879,139.372977,35.7194125,キクヤ昭島店,東京都昭島市武蔵野3-11-33,879,キクヤ昭島店,東京都,キクヤ昭島店
P03533,139.337217,36.038351,メガボックス東松山店,埼玉県東松山市上唐子1461-3,3533,メガボックス東松山店,埼玉県,メガボックス東松山店
P05254,139.083725,34.9412918,プレイステーションタムラ伊東店,静岡県伊東市鎌田1285-12,5254,プレイステーションタムラ伊東店,静岡県,プレイステーションタムラ伊東店
P00367,139.667187,35.6976692,パーラースーパーセブン新中野店,東京都中野区中央5-1-1,367,パーラースーパーセブン新中野店,東京都,パーラースーパーセブン新中野店
P00106,139.77544,35.710915,PIA上野,東京都台東区上野6-13-9,106,PIA上野,東京都,PIA上野
P02340,141.145655,38.5352992,パラディソ涌谷店,宮城県遠田郡涌谷町涌谷千間江56,2340,パラディソ涌谷店,宮城県,パラディソ涌谷店
P10437,130.37814,33.566068,エムザス,福岡県福岡市中央区笹丘1-12-26,10437,エムザス,福岡県,エムザス
P10437,130.37814,33.566068,エムザス,福岡県福岡市中央区笹丘1-12-26,10437,エムザス,佐賀県,エムザスみやき店
P06404,,,ビッグマックス高山店,岐阜県高山市西之一色町2-121-1,6404,ビッグマックス高山店,岐阜県,ビッグマックス高山店
P06305,136.780761,35.136099,サンシャインKYORAKU蟹江,愛知県海部郡蟹江町錦3-7,6305,サンシャインKYORAKU蟹江,愛知県,サンシャインKYORAKU蟹江
P06208,136.911991,35.0647055,パチンコワイド,愛知県東海市名和町二番割上33,6208,パチンコワイド,愛知県,パチンコワイド
P03593,139.228068,36.2227753,サンクラウン岡部店,埼玉県深谷市岡1151-2,3593,サンクラウン岡部店,埼玉県,サンクラウン岡部店
P06723,136.619601,34.9679704,キング観光サウザンド近鉄四日市店,三重県四日市市諏訪栄町7-31,6723,キング観光サウザンド近鉄四日市店,三重県,キング観光サウザンド近鉄四日市店
P05247,139.115956,34.9406562,ABC伊東吉田店,静岡県伊東市吉田754-18,5247,ABC伊東吉田店,静岡県,ABC伊東吉田店
P07858,135.602623,34.6309604,123ファースト八尾店,大阪府八尾市北本町2-15-3,7858,123ファースト八尾店,大阪府,123ファースト八尾店
P06477,137.062724,35.435702,ラッキープラザ1010可児店,岐阜県可児市川合字上巾2620-2,6477,ラッキープラザ1010可児店,岐阜県,ラッキープラザ1010可児店
P03709,139.375964,35.8161041,マルハン入間店,埼玉県入間市大字小谷田863番地1,3709,マルハン入間店,埼玉県,マルハン入間店
P06311,136.815548,35.172634,プレイランド平和大治店,愛知県海部郡大治町大字中島字深田45-1,6311,プレイランド平和大治店,愛知県,プレイランド平和大治店
P00973,139.415058,35.7467729,ニラク上北台店,東京都東大和市上北台1-1-4,973,ニラク上北台店,東京都,ニラク上北台店
