イベント日,都道府県,店舗名,取材名,取材ランク,媒体名,latitude,longitude
2023-12-09,千葉県,Dステーション妙典駅前店,ドリスロ,・,ドリスロ,35.691364,139.925323
2023-12-09,千葉県,Dステーション東金,ドリスロ,・,ドリスロ,35.576927,140.384918
2023-12-09,千葉県,PIA津田沼,ぎょくあしゅら,・,りゅーこ,35.690063,140.022247
2023-12-09,千葉県,ウエスタン浦安駅前店,ドリスロ,・,ドリスロ,35.666325,139.893234
2023-12-09,千葉県,ウエスタン浦安駅前店,頂チャンネル,B,頂-ITADAKI-,35.666325,139.893234
2023-12-09,千葉県,エクスアリーナ松戸,スーパースター・烈ちゃん来店調査,・,パチスロ必勝本,35.761406,139.938095
2023-12-09,千葉県,エクス・アリーナ柏,チバクエスト,・,でちゃう！,35.816994,139.961594
2023-12-09,千葉県,ガーデン松戸店,やべんじゃーず紫,C,パチエース,35.780701,139.93132
2023-12-09,千葉県,ガーデン松戸店,やっぱチバ!!!,・,やっぱカントー,35.780701,139.93132
2023-12-09,千葉県,ガーデン松戸金ヶ作,超CHANGE取材,・,DMMぱちタウン,35.808609,139.959808
2023-12-09,千葉県,ガーデン松戸金ヶ作,終末への挑戦,C,DMMぱちタウン,35.808609,139.959808
2023-12-09,千葉県,ガーデン松戸金ヶ作,低王RESEARCH(金),・,DMMぱちタウン,35.808609,139.959808
2023-12-09,千葉県,ガーデン松戸金ヶ作,スコーピオン取材 団結の刻(真紅),B,DMMぱちタウン,35.808609,139.959808
2023-12-09,千葉県,ガーデン松戸金ヶ作,スコーピオン取材 ド・ニーチ取材,・,DMMぱちタウン,35.808609,139.959808
2023-12-09,千葉県,ガーデン松戸金ヶ作,スコーピオン取材 アツ盛,C,DMMぱちタウン,35.808609,139.959808
2023-12-09,千葉県,ガイアネクスト南行徳店,ドリスロ,・,ドリスロ,35.672997,139.901855
2023-12-09,千葉県,ガイアネクスト花見川,ドリスロ,・,ドリスロ,35.693615,140.081619
2023-12-09,千葉県,ガイアネクスト行徳店,ドリスロ,・,ドリスロ,35.683178,139.915237
2023-12-09,千葉県,ガイア西船橋店,スロパチステーション潜入取材 メガテン,S,スロパチステーション,35.708637,139.954086
2023-12-09,千葉県,キクヤ千葉店,TRI,B,アツ姫,35.58741,140.129349
2023-12-09,千葉県,キコーナ松戸店,スロ子来店,A,スロパチステーション,35.778774,139.916351
2023-12-09,千葉県,サイバースロット長浦店,ドリスロ,・,ドリスロ,35.45697,139.990341
2023-12-09,千葉県,スーパーDステーション千葉みなと,ドリスロ,・,ドリスロ,35.604107,140.100311
2023-12-09,千葉県,テンイチ∞新松戸店,スマフェス(アツ姫),C,アツ姫,35.827183,139.92038
